Afghanistan,2022-01-01,16935
Afghanistan,2022-01-02,17269
Afghanistan,2022-01-03,17604
Afghanistan,2022-01-04,17604
Afghanistan,2022-01-05,17604
Afghanistan,2022-01-06,17604
Afghanistan,2022-01-07,17604
Afghanistan,2022-01-08,17604
Afghanistan,2022-01-09,17604
Afghanistan,2022-01-10,16642
Afghanistan,2022-01-11,15680
Afghanistan,2022-01-12,15287
Afghanistan,2022-01-13,14893
Afghanistan,2022-01-14,13458
Afghanistan,2022-01-15,12023
Afghanistan,2022-01-16,10588
Afghanistan,2022-01-17,10115
Afghanistan,2022-01-18,9920
Afghanistan,2022-01-19,9156
Afghanistan,2022-01-20,8235
Afghanistan,2022-01-21,8355
Afghanistan,2022-01-22,8475
Afghanistan,2022-01-23,8595
Afghanistan,2022-01-24,8715
Afghanistan,2022-01-25,9368
Afghanistan,2022-01-26,10021
Afghanistan,2022-01-27,9802
Afghanistan,2022-01-28,10176
Afghanistan,2022-01-29,10550
Afghanistan,2022-01-30,10925
Afghanistan,2022-01-31,11299
Afghanistan,2022-02-01,11228
Afghanistan,2022-02-02,11157
Afghanistan,2022-02-03,12025
Afghanistan,2022-02-04,12299
Afghanistan,2022-02-05,12573
Afghanistan,2022-02-06,12847
Afghanistan,2022-02-07,13122
Afghanistan,2022-02-08,13311
Afghanistan,2022-02-09,13501
Afghanistan,2022-02-10,13781
Afghanistan,2022-02-11,14061
Afghanistan,2022-02-12,14341
Afghanistan,2022-02-13,14621
Afghanistan,2022-02-14,14901
Africa,2022-01-01,2176703
Africa,2022-01-02,2078755
Africa,2022-01-03,1970144
Africa,2022-01-04,1760546
Africa,2022-01-05,1774931
Africa,2022-01-06,2171184
Africa,2022-01-07,1828074
Africa,2022-01-08,1992208
Africa,2022-01-09,2151130
Africa,2022-01-10,2561896
Africa,2022-01-11,1835195
Africa,2022-01-12,1891667
Africa,2022-01-13,1541074
Africa,2022-01-14,1584168
Africa,2022-01-15,1702232
Africa,2022-01-16,1577438
Africa,2022-01-17,1450085
Africa,2022-01-18,1666666
Africa,2022-01-19,1845375
Africa,2022-01-20,1680192
Africa,2022-01-21,2365505
Africa,2022-01-22,2171833
Africa,2022-01-23,2302217
Africa,2022-01-24,2155127
Africa,2022-01-25,1932065
Africa,2022-01-26,1753412
Africa,2022-01-27,1830431
Africa,2022-01-28,1191263
Africa,2022-01-29,1192934
Africa,2022-01-30,1161246
Africa,2022-01-31,1066172
Africa,2022-02-01,1089672
Africa,2022-02-02,1276222
Africa,2022-02-03,1196500
Africa,2022-02-04,1067655
Africa,2022-02-05,956286
Africa,2022-02-06,1111992
Africa,2022-02-07,1354882
